,trip_id,passenger_id,pickup_lat,pickup_long,dropoff_lat,dropoff_long,actual_pickup_time,pickup_time,drop_time,Trip purpose
135,188880019,03276041375bfb750feb05a562e834ef6f167688bd468be323b1cdb30f43727e,6.92419,79.865,6.92107,79.8921,2019-11-06 07:38:00,2019-11-06 07:33:00,2019-11-06 07:59:00,education
136,189068701,03276041375bfb750feb05a562e834ef6f167688bd468be323b1cdb30f43727e,6.92419,79.865,6.92107,79.8922,2019-11-07 07:37:00,2019-11-07 07:33:00,2019-11-07 07:54:00,education
137,189285946,03276041375bfb750feb05a562e834ef6f167688bd468be323b1cdb30f43727e,6.92419,79.865,6.92073,79.8923,2019-11-08 07:42:00,2019-11-08 07:36:00,2019-11-08 08:00:00,education
142,188531635,03734530aae9a13cebd2d2e989d043ba5d42e39b6d7e80e42f3df99ec2654db4,6.89401,79.853,6.90202,79.8942,2019-11-04 08:22:00,2019-11-04 08:18:00,2019-11-04 08:46:00,education
143,188717257,03734530aae9a13cebd2d2e989d043ba5d42e39b6d7e80e42f3df99ec2654db4,6.89401,79.853,6.90157,79.8941,2019-11-05 08:09:00,2019-11-05 08:02:00,2019-11-05 08:33:00,education
144,189075982,03734530aae9a13cebd2d2e989d043ba5d42e39b6d7e80e42f3df99ec2654db4,6.89401,79.853,6.90195,79.8941,2019-11-07 08:11:00,2019-11-07 08:03:00,2019-11-07 08:38:00,education
157,188870289,046f004d7494f65ed4f03a89c548048895e63d6a7e157825c28cd8927a67dd31,6.80346,79.8767,6.87245,79.8936,2019-11-06 06:54:00,2019-11-06 06:44:00,2019-11-06 07:35:00,education
158,189058439,046f004d7494f65ed4f03a89c548048895e63d6a7e157825c28cd8927a67dd31,6.80339,79.8767,6.87211,79.894,2019-11-07 07:07:00,2019-11-07 06:54:00,2019-11-07 07:37:00,education
159,189340631,046f004d7494f65ed4f03a89c548048895e63d6a7e157825c28cd8927a67dd31,6.80343,79.8767,6.87231,79.8937,2019-11-08 11:49:00,2019-11-08 11:37:00,2019-11-08 12:20:00,education
278,189050971,0847501fbbe335d43146289090115a211d1286731a89f5096612d7a1181ec44e,6.88061,79.9562,6.91312,79.8872,2019-11-07 06:09:00,2019-11-07 05:51:00,2019-11-07 07:15:00,education
280,189259911,0847501fbbe335d43146289090115a211d1286731a89f5096612d7a1181ec44e,6.88087,79.9561,6.91282,79.887,2019-11-08 06:20:00,2019-11-08 06:03:00,2019-11-08 07:37:00,education
315,189082086,09f7a05a045cb46c4090e36c396986a65ddd1f2057f9d88bb5c0dfa0758b277c,6.90183,79.8534,6.86622,79.8792,2019-11-07 08:29:00,2019-11-07 08:25:00,2019-11-07 08:54:00,education
316,189306431,09f7a05a045cb46c4090e36c396986a65ddd1f2057f9d88bb5c0dfa0758b277c,6.90184,79.8534,6.86627,79.8792,2019-11-08 08:33:00,2019-11-08 08:29:00,2019-11-08 08:54:00,education
362,188877222,0c72629f9fe2f111780b8a3f1647495423d58db68191740394e693203cd8abea,6.88749,79.9077,6.91292,79.8875,2019-11-06 07:29:00,2019-11-06 07:17:00,2019-11-06 08:00:00,education
363,189065511,0c72629f9fe2f111780b8a3f1647495423d58db68191740394e693203cd8abea,6.88759,79.9077,6.91322,79.8874,2019-11-07 07:38:00,2019-11-07 07:20:00,2019-11-07 08:30:00,education
364,189277907,0c72629f9fe2f111780b8a3f1647495423d58db68191740394e693203cd8abea,6.8876,79.9077,6.91305,79.8876,2019-11-08 07:27:00,2019-11-08 07:11:00,2019-11-08 07:54:00,education
423,188705532,0ed05cb7d4cf955f7b4647fbf061cd21f1ab4e7477bb345f0b13b3d174815517,6.89202,79.9935,6.89504,79.8571,2019-11-05 07:09:00,2019-11-05 06:59:00,2019-11-05 08:27:00,education
424,189063798,0ed05cb7d4cf955f7b4647fbf061cd21f1ab4e7477bb345f0b13b3d174815517,6.89201,79.9936,6.89497,79.8572,2019-11-07 07:29:00,2019-11-07 07:14:00,2019-11-07 08:41:00,education
425,189273362,0ed05cb7d4cf955f7b4647fbf061cd21f1ab4e7477bb345f0b13b3d174815517,6.89206,79.9935,6.89514,79.8572,2019-11-08 07:11:00,2019-11-08 06:59:00,2019-11-08 08:30:00,education
451,188533878,101f3b9a9d41bdf87669a9d82c5eaf7d7dce8c3728dbdd7876ecc822a8d2ecd7,6.88154,79.8677,6.9159,79.8691,2019-11-04 08:31:00,2019-11-04 08:27:00,2019-11-04 08:48:00,education
452,188720796,101f3b9a9d41bdf87669a9d82c5eaf7d7dce8c3728dbdd7876ecc822a8d2ecd7,6.88159,79.8677,6.91546,79.8692,2019-11-05 08:24:00,2019-11-05 08:18:00,2019-11-05 08:38:00,education
453,189302593,101f3b9a9d41bdf87669a9d82c5eaf7d7dce8c3728dbdd7876ecc822a8d2ecd7,6.88157,79.8677,6.91589,79.8691,2019-11-08 08:23:00,2019-11-08 08:19:00,2019-11-08 08:41:00,education
459,188888498,10354db7f4ebe9f2ee148d91504ed6fb7659899ceeff45626104e96f3312d318,6.88157,79.8741,6.91605,79.8738,2019-11-06 08:25:00,2019-11-06 08:14:00,2019-11-06 08:52:00,education
460,189077357,10354db7f4ebe9f2ee148d91504ed6fb7659899ceeff45626104e96f3312d318,6.88157,79.8741,6.91595,79.8738,2019-11-07 08:17:00,2019-11-07 08:09:00,2019-11-07 08:50:00,education
462,188531575,10382b5c69a7c71d73a6ab63090c9a46df4267c14aefbab333ea618bd63ddbbd,6.86996,79.8801,6.88448,79.8968,2019-11-04 08:25:00,2019-11-04 08:17:00,2019-11-04 08:42:00,education
