,trip_id,passenger_id,pickup_lat,pickup_long,dropoff_lat,dropoff_long,actual_pickup_time,pickup_time,drop_time,Trip purpose
24370,188536728,03a42c253dc425cca188908de296c406288d9618a3f5426e135287cd8b80424b,6.8608598709106445,79.88729858398438,6.904739856719971,79.86260223388672,2019-11-04 08:48:00,2019-11-04 08:41:00,2019-11-04 09:11:00,dining
24378,188536781,66d4f86982ab662814756ee9feb0464d7a58b6011fc42e5de6b66a7e8c87420d,6.852099895477295,79.9083023071289,6.8653998374938965,79.86000061035156,2019-11-04 08:48:00,2019-11-04 08:41:00,2019-11-04 09:10:00,dining
24384,188536839,702b1048178388297b679b25bc4645eb988bcf20ba4926b1b54483ae4a0e0b1f,6.8408098220825195,79.88369750976562,6.888329982757568,79.85780334472656,2019-11-04 08:48:00,2019-11-04 08:42:00,2019-11-04 09:09:00,dining
24389,188536913,4d1c2cc3bedc8591fb53d68de032c84ca7027116e2f731f80c2a1eef783db8d4,6.872700214385986,79.86979675292969,6.905320167541504,79.86170196533203,2019-11-04 08:46:00,2019-11-04 08:42:00,2019-11-04 09:01:00,dining
24391,188536942,d712ec9019baa63867cfbaa49c3f1ff09e2cdeabf489a770aec67df6ec2bb290,6.922820091247559,79.88240051269531,6.89178991317749,79.86209869384766,2019-11-04 08:52:00,2019-11-04 08:42:00,2019-11-04 09:25:00,dining
24396,188536977,f2bcd249eaa82885f05117e9b05c067607a7dac43124004ca1118acb24ee22cb,6.913909912109375,79.89230346679688,6.887269973754883,79.877197265625,2019-11-04 08:49:00,2019-11-04 08:42:00,2019-11-04 09:10:00,dining
24421,188537368,26c901adf655106f8e4da02b89e68cda472a741f99228953200e7a2212a2b0e8,6.856090068817139,79.86219787597656,6.891300201416016,79.856201171875,2019-11-04 08:50:00,2019-11-04 08:44:00,2019-11-04 09:05:00,dining
24436,188537598,3d37d1b79b41dd5fa71ea6bcfe446ca2bcf9136384d7742e69f64897437353ea,6.881939888000488,79.85810089111328,6.8896098136901855,79.87300109863281,2019-11-04 08:51:00,2019-11-04 08:46:00,2019-11-04 09:11:00,dining
24442,188537639,7f544e9a0057440e1ffe65cc5976e699f3401278250e538c185846a600bb4f0d,6.853730201721191,79.91459655761719,6.906060218811035,79.8948974609375,2019-11-04 08:55:00,2019-11-04 08:46:00,2019-11-04 09:21:00,dining
24485,188538209,61b2d59d30639257c725183ad22ab90a62c4f7b64260e56705f87d04bffaf2b3,6.768579959869385,79.91940307617188,6.905449867248535,79.90499877929688,2019-11-04 09:08:00,2019-11-04 08:49:00,2019-11-04 10:02:00,dining
